faction_id,faction_name,faction_leader,icon,color,season,styleType,styleTypeText,playerType,playerTypeText,maxPlayers,bonus1,bonus2,bonus3,bonus4,description,recommended,difficulty
faction_1101,刘备,char_san_1101,🐉,#FF6B6B,S1,defensive,固守,opportunistic,机缘,40,势力内政值+5%,势力魅力值+10%,部队卡兵力+15,仙人AI固定施展增益效果,机缘玩家的选择，固守风格,TRUE,中等
faction_1201,曹操,char_san_1201,⚔️,#4ECDC4,S1,balanced,霸业,solid,扎实,60,势力内政值+10%,势力魅力值+5%,部队卡防御+15,随机日常任务数+2,扎实玩家的选择，霸业风格,TRUE,简单
faction_1301,孙坚,char_san_1301,🦁,#95E1D3,S1,challenging,挑战,extreme,极限,40,势力内政值+2%,势力魅力值+5%,部队卡移动力+1,可以跨过移速内水域范围,极限玩家的选择，挑战风格,FALSE,困难
faction_1401,袁绍,char_san_1401,👑,#F38181,S1,challenging,挑战,extreme,极限,40,势力内政值+5%,势力魅力值+2%,部队卡射程+1,声望加成+10%,极限玩家的选择，挑战风格,FALSE,困难
faction_1501,董卓,char_san_1501,🔥,#AA4A44,S1,aggressive,猛攻,brutal,暴虐,80,势力内政值-10%,势力魅力值-5%,攻城增加5%攻击力,携带部队卡上限+2,暴虐玩家的选择，猛攻风格,FALSE,困难
faction_1601,汉室,char_san_1601,🏛️,#FFD93D,S1,mainstream,主流,moderate,中庸,120,势力内政值+5%,势力魅力值+5%,守城增加5%防御力,每日额外获得粮草和银两,中庸玩家的选择，主流风格,TRUE,简单
faction_1701,黄巾,char_san_1701,⚡,#FCB900,S1,swarm,蝗虫,rush,速攻,120,势力内政值-20%,势力魅力值-5%,部队卡攻击+20,每日获得一张蓝色部队卡,速攻玩家的选择，蝗虫风格,FALSE,中等
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

