section,type,order,content,icon
游戏申明,disclaimer,1,本游戏历史人物，地理，仅作尽可能还原并结合游戏性，并非完全历史考据游戏，请勿细究。,
游戏申明,disclaimer,2,本游戏势力设定，综合参考史实和部分约定俗成中战力，管辖区域等，糅合而成，请勿细究。,
游戏申明,disclaimer,3,玩家拥有数据的所有权，如果本游戏不幸倒闭了，同样会生成一份赛博墓志铭资料以作纪念。,
游戏申明,disclaimer,4,游戏管理员有权对非法或者利用BUG等非正常手段获利的玩家进行制裁，并且实施法律手段。,
S1赛季介绍,feature,1,抽卡全免，真爱无私,✓
S1赛季介绍,feature,2,武将唯一，你即唯一,✓
S1赛季介绍,feature,3,赛季战令，氪金独苗,✓
S1赛季介绍,feature,4,精彩日常，绝不长草,✓
S1赛季介绍,feature,5,结合史实，地图考究,✓
S1赛季介绍,feature,6,战役系统，战至终章,✓
S1赛季介绍,feature,7,七大势力，特色各异(S1),✓
S1赛季介绍,feature,8,聚焦东汉核心七州燃烽火,✓
S1赛季介绍,feature,9,摒弃无聊比拼武将纯数值,✓
S1赛季介绍,feature,10,多线程动态调整势力强度,✓
S1赛季介绍,feature,11,上百位黄巾之乱真实武将,✓
S1赛季介绍,feature,12,上千条游戏随机组合事件,✓
S1赛季介绍,feature,13,每日生成漫画不虚度每一天,✓
S1赛季介绍,feature,14,赛季末进行豪华的终局评定,✓
版权申明,copyright,1,真三风云 (San Storm),
版权申明,copyright,2,版本：0.1.0,
版权申明,copyright,3,Copyright © 2026 Notee.vip,
版权申明,copyright,4,保留所有权利,
版权申明,copyright,5,本游戏为原创作品，受版权法保护。,
版权申明,copyright,6,游戏中的创意、机制、数据均为原创。,

