id,name,level,icon,rank,requirement,description,color,resourceBonus,prestigeBonus,infantryBonus,cavalryBonus,archerBonus,permissions
position_monarch,君主,9,👑,0,,势力君主,#ef4444,1.0,1.0,0,0,0,战略决策|资源分配
position_general,大将军,8,⭐⭐⭐,1,待定,最高统帅，军权,#f97316,0.5,0.5,0,0,0,外交建议|军事管理
position_dasima,大司马,8,⭐⭐⭐,2,待定,最高统帅，内政,#f97316,0.5,0.5,0,0,0,外交建议|内政管理
position_piaoqi,骠骑将军,7,⭐⭐,3,待定,重号将军，步兵专精,#eab308,0.3,0.3,0.15,0,0,外交建议|任命官职
position_cheqi,车骑将军,7,⭐⭐,4,待定,重号将军，骑兵专精,#eab308,0.3,0.3,0,0.15,0,外交建议|任命官职
position_sian,四安将军,6,🏛️,5,待定,四方将军，综合型,#10b981,0.25,0.25,0,0,0,势力决策投票
position_siping,四平将军,6,🏛️,6,待定,四方将军，综合型,#10b981,0.25,0.25,0,0,0,势力决策投票
position_sizhen,四镇将军,6,🏛️,7,待定,四方将军，综合型,#10b981,0.25,0.25,0,0,0,势力决策投票
position_sizheng,四征将军,6,🏛️,8,待定,四方将军，综合型,#10b981,0.25,0.25,0,0,0,势力决策投票
position_taolu,讨虏将军,5,⚔️,9,待定,征伐将军，攻击型,#3b82f6,0.2,0.2,0.1,0,0,势力决策投票
position_polu,破虏将军,5,⚔️,10,待定,征伐将军，攻击型,#3b82f6,0.2,0.2,0.1,0,0,势力决策投票
position_dangkou,荡寇将军,5,⚔️,11,待定,征伐将军，攻击型,#3b82f6,0.2,0.2,0.1,0,0,势力决策投票
position_pinglu,平虏将军,5,⚔️,12,待定,征伐将军，攻击型,#3b82f6,0.2,0.2,0.1,0,0,势力决策投票
position_zhenglu,征虏将军,5,⚔️,13,待定,征伐将军，攻击型,#3b82f6,0.2,0.2,0.1,0,0,势力决策投票
position_jiaokou,剿寇将军,5,⚔️,14,待定,征伐将军，攻击型,#3b82f6,0.2,0.2,0.1,0,0,势力决策投票
position_fenwei,奋威将军,5,⚔️,15,待定,勇武将军，攻防型,#3b82f6,0.2,0.2,0.05,0.05,0,势力决策投票
position_xiaoqi,骁骑将军,5,⚔️,16,待定,勇武将军，攻防型,#3b82f6,0.2,0.2,0.05,0.05,0,势力决策投票
position_yangwu,扬武将军,5,⚔️,17,待定,勇武将军，攻防型,#3b82f6,0.2,0.2,0.05,0.05,0,势力决策投票
position_jianwu,建武将军,5,⚔️,18,待定,勇武将军，攻防型,#3b82f6,0.2,0.2,0.05,0.05,0,势力决策投票
position_liewu,烈武将军,5,⚔️,19,待定,勇武将军，攻防型,#3b82f6,0.2,0.2,0.05,0.05,0,势力决策投票
position_ruiwu,锐武将军,5,⚔️,20,待定,勇武将军，攻防型,#3b82f6,0.2,0.2,0.05,0.05,0,势力决策投票
position_zhenjun,镇军将军,5,⚔️,21,待定,镇抚将军，防守型,#3b82f6,0.2,0.2,0,0,0.1,势力决策投票
position_anhan,安汉将军,5,⚔️,22,待定,镇抚将军，防守型,#3b82f6,0.2,0.2,0,0,0.1,势力决策投票
position_fubian,抚边将军,5,⚔️,23,待定,镇抚将军，防守型,#3b82f6,0.2,0.2,0,0,0.1,势力决策投票
position_ningshuo,宁朔将军,5,⚔️,24,待定,镇抚将军，防守型,#3b82f6,0.2,0.2,0,0,0.1,势力决策投票
position_zhendong,镇东将军,5,⚔️,25,待定,镇抚将军，防守型,#3b82f6,0.2,0.2,0,0,0.1,势力决策投票
position_anguo,安国将军,5,⚔️,26,待定,镇抚将军，防守型,#3b82f6,0.2,0.2,0,0,0.1,势力决策投票
position_wuguan,五官中郎将,4,🎖️,27,待定,中郎将，综合型,#8b5cf6,0.15,0.15,0,0,0,无
position_huben,虎贲中郎将,4,🎖️,28,待定,中郎将，步兵专精,#8b5cf6,0.15,0.15,0.08,0,0,无
position_yulin,羽林中郎将,4,🎖️,29,待定,中郎将，骑兵专精,#8b5cf6,0.15,0.15,0,0.08,0,无
position_bubing_xiaowei,步兵校尉,3,▲,30,待定,校尉，步兵专精,#6b7280,0.1,0.1,0.05,0,0,无
position_qibing_xiaowei,骑兵校尉,3,▲,31,待定,校尉，骑兵专精,#6b7280,0.1,0.1,0,0.05,0,无
position_bubing_duwei,步兵都尉,2,▲,32,待定,都尉，步兵专精,#9ca3af,0.05,0.05,0.03,0,0,无
position_qibing_duwei,骑兵都尉,2,▲,33,待定,都尉，骑兵专精,#9ca3af,0.05,0.05,0,0.03,0,无
position_junhou,军候,1,●,34,初始官职,初始官职，无特权,#d1d5db,0,0,0,0,0,无
,,,,,,,,,,,,,
,,,,,,,,,,,,,

