skill_id,skill_name,damage_type,character_type,effect_type,effect_value,description
skill_1_5001,圣斩,physical,military;balanced,active,,对目标十字型位置敌人造成200%伤害
skill_1_5002,千里,physical,military;balanced,active,,对目标敌人造成300%伤害，并击退2格
skill_1_5003,妖术,strategy,strategist;balanced,active,,对目标田字型位置敌人造成150%伤害
skill_1_5004,诱惑,strategy,strategist;balanced,active,,对目标敌人造成300%伤害，并拉近2格
skill_2_5001,群雄,,,passive,,可上阵部队数+1
skill_2_5002,九鼎,,,passive,,所有属性+2
skill_2_5003,眷顾,,,passive,,所有伤害+10%;所有伤害减免+10%
skill_2_5004,战神,,,passive,,暴击率+10%;命中率+30%;闪避率+30%
skill_1_4001,一骑,physical,military;balanced,active,,对目标十字型位置敌人造成100%伤害
skill_1_4002,连战,physical,military;balanced,active,,在自己攻击范围内随机选择2个目标敌人进行攻击
skill_1_4003,乱战,physical,military;balanced,active,,在自己攻击范围内随机选择4个目标敌人进行攻击（如果攻击范围内存在我方单位，同样会对其造成伤害）
skill_1_4004,白马,physical,military;balanced,active,,骑兵攻击距离+2，并对目标造成180%伤害
skill_1_4005,火神,strategy,strategist;balanced,active,,对目标十字型位置敌人造成80%伤害，并进入灼烧状态，下回合造成40%谋略伤害
skill_1_4006,风神,strategy,strategist;balanced,active,,对目标十字型位置敌人造成60%伤害，并使敌人陷入1回合的眩晕而无法行动
skill_1_4007,威压,strategy,strategist;balanced,active,,对目标十字型位置敌人造成60%伤害，并减少20%奋战值
skill_1_4008,攻心,strategy,strategist;balanced,active,,对目标造成150%伤害，并在战斗结束后恢复本部队300兵力
skill_2_4001,四边形,,,passive,,所有属性+0.5
skill_2_4002,天命,,,passive,,运气+2
skill_2_4003,霸王,,military;balanced,passive,,勇气+2
skill_2_4004,猛将,,military;balanced,passive,,统帅+1.5;武力+1.5
skill_2_4005,智将,,strategist;balanced,passive,,智力+1.5;政治+1.5;魅力+1.5
skill_2_4006,强运,,strategist;balanced,passive,,每次战斗受到的第一次伤害无效
skill_2_4007,骑将,,,passive,,骑兵伤害增加10%
skill_2_4008,步将,,,passive,,步兵伤害增加10%
skill_2_4009,神将,,,passive,,暴击率+20%;命中率+10%;闪避率+10%
skill_2_4010,铁壁,,,passive,,物理伤害减免20%;计谋伤害减免10%
skill_2_4011,不屈,,,passive,,物理伤害减免10%;计谋伤害减免20%
skill_2_4012,飞将,,,passive,,无视移动障碍;移动力+1
skill_1_3001,伏兵,physical,military;balanced,active,,部队进入隐身状态，并且下回合造成200%伤害
skill_1_3002,血路,physical,military;balanced,active,,恢复本部队200兵力，并在自己攻击范围内随机1个目标敌人进行攻击
skill_1_3003,虚实,strategy,strategist;balanced,active,,对目标一字型位置敌人造成80%伤害，并随机造成1回合的晕眩或者沉默
skill_1_3004,沉默,strategy,strategist;balanced,active,,对目标田字型位置敌人造成40%伤害，并使敌人本回合无法使用技能
skill_1_3005,看破,,,active,,本场战斗免疫一次伤害，并增加20%奋战值
skill_1_3006,昂扬,,,active,,为自己三格范围内的我军部队增加10%奋战值
skill_2_3001,骑战使,,,passive,,骑兵伤害增加5%
skill_2_3002,步战使,,,passive,,步兵伤害增加5%
skill_2_3003,骑射,,,passive,,骑兵攻击距离+2
skill_2_3004,暴虐,,,passive,,暴击率+15%;命中率+5%
skill_2_3005,坚韧,,,passive,,场上部队数3支以下的时候，物理和计谋伤害减免15%
skill_2_3006,强夺,,,passive,,战斗结束后获得和杀敌量相同的粮草和银两
skill_1_2001,移形,physical,military;balanced,active,,和目标更换位置后，在自己攻击范围内随机1个目标敌人进行攻击
skill_1_2002,击退,physical,military;balanced,active,,对目标敌人造成120%伤害，并击退2格
skill_1_2003,连环,strategy,strategist;balanced,active,,对相邻的两个目标各造成120%伤害
skill_1_2004,秘计,strategy,strategist;balanced,active,,对目标十字型位置敌人造成40%伤害，并使敌人下回合移动力固定为1
skill_1_2005,明镜,,,active,,恢复本部队150兵力，增加10%奋战值
skill_1_2006,祈愿,,,active,,为选定友军和自军各自恢复100兵力
skill_1_2007,金刚,,,active,,反弹80%受到的下一回伤害
skill_1_2008,洞察,,,active,,本场战斗免疫所有计谋伤害
skill_2_2001,名仕,,,passive,,所有属性+0.2
skill_2_2002,强攻,,,passive,,暴击率+10%;命中率+5%;闪避率-5%
skill_2_2003,远望,,,passive,,步兵攻击距离+1
skill_2_2004,藤甲,,,passive,,物理伤害减免15%;受到计谋伤害增加5%
skill_2_2005,护卫,,,passive,,为自己三格范围内的我军部队抵挡伤害
skill_2_2006,幸运,,,passive,,20%几率造成双倍伤害
skill_2_2007,攻城,,,passive,,对城市、据点、设施、建筑造成双倍伤害
skill_2_2008,炮王,,,passive,,开局自动放置一个炮车单位（仅可攻击非部队单位）
skill_1_1001,飞燕,physical,military;balanced,active,,对目标田字型位置4个敌人各造成40%伤害
skill_1_1002,浴血,physical,military;balanced,active,,减少本部队50兵力，对目标敌人造成150%伤害
skill_1_1003,毒箭,strategy,strategist;balanced,active,,对目标十字型位置敌人造成60%伤害
skill_1_1004,诱敌,strategy,strategist;balanced,active,,对目标敌人造成100%伤害，并拉近2格
skill_1_1005,箭塔,,,active,,在三格范围内设置一个箭塔设施
skill_1_1006,路障,,,active,,在三格范围内设置一个路障设施
skill_2_1001,运气,,,passive,,运气+1
skill_2_1002,勇气,,,passive,,勇气+1
skill_2_1003,统帅,,,passive,,统帅+1
skill_2_1004,武力,,,passive,,武力+1
skill_2_1005,智力,,,passive,,智力+1
skill_2_1006,内政,,,passive,,政治+1;魅力+1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
skill_4,,,,,,羁绊：孙坚,吴氏（孙坚妻）
,,,,,,羁绊：曹操,丁氏（曹操正妻）,,卞夫人（曹操侧室）
,,,,,,羁绊：汉室,蔡琰（蔡文姬）,,
,,,,,,羁绊：袁绍,冯氏，袁术妾,,
,,,,,,羁绊：袁绍,刘氏（袁绍正妻）,,
,,,,,,羁绊：刘备,胡氏,关羽正妻，关平生母（民间设定）,
,,,,,,羁绊：汉室,何莲（何太后）,,
,,,,,,羁绊：董卓,貂蝉,,
,,,,,,羁绊：通用,王氏（马腾正妻）,,
,,,,,,羁绊：通用,柳氏（韩遂夫人）,,
,,,,,,,,,
,,,,,,,,,

