troop_id,troop_name,rarity,troop_type,max_troops,range,attack,defense,speed,movement,infantry_counter,cavalry_counter,archer_counter,siege_counter,plain_adapt,hill_adapt,forest_adapt,siege_adapt,skill_3,skill_4,description
troop_san_1101,冀州部曲,common,infantry,150,1,30,26,4,3,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1102,冀州轻弓,common,archer,150,3,35,22,3,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1103,冀州轻骑,rare,cavalry,300,1,75,44,6,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1104,平原义军,epic,infantry,450,1,95,74,5,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1105,平原强弓,epic,archer,450,3,101,68,5,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1106,丹阳兵,legendary,infantry,600,1,130,105,6,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,江淮劲卒，悍勇善战
troop_san_1107,燕云十八,legendary,cavalry,18,2,2330,1260,6,6,1.20,1.00,1.20,1.20,1.2,1.0,0.9,0.9,,万人敌,张飞亲卫，无惧无畏
troop_san_1108,胡氏卫队,epic,cavalry,300,1,140,77,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,关羽正室，胡氏卫队
troop_san_1201,兖州部曲,common,infantry,150,1,32,25,4,3,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1202,兖州轻弓,common,archer,150,3,36,21,3,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1203,兖州轻骑,rare,cavalry,300,1,80,42,6,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1204,宗族近卫,epic,infantry,450,1,99,72,5,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1205,宗族强弓,epic,archer,450,3,105,66,5,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1206,虎卫军,legendary,infantry,600,1,139,115,6,4,1.00,1.00,1.10,1.00,1.0,1.0,1.0,1.1,,,曹操近卫，精锐虎卫
troop_san_1207,虎豹骑,legendary,cavalry,600,1,155,96,6,6,1.10,1.10,1.20,1.10,1.2,1.0,0.9,0.9,,,曹氏宗亲，中央精锐
troop_san_1208,丁氏卫队,epic,cavalry,300,1,144,70,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,曹操正室，丁氏卫队
troop_san_1209,卞氏卫队,epic,cavalry,300,1,135,79,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,曹操侧室，卞氏卫队
troop_san_1301,徐州部曲,common,infantry,150,1,33,23,5,3,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1302,徐州轻弓,common,archer,150,3,36,20,4,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1303,徐州轻骑,rare,cavalry,300,1,78,40,7,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1304,持刀水匪,epic,infantry,450,1,98,70,6,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1305,马刀突骑,epic,cavalry,450,1,102,66,6,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,无视地形,
troop_san_1306,解烦卫,legendary,infantry,600,1,115,135,6,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,权孙十万，解烦近卫
troop_san_1307,锦帆卫,legendary,archer,600,4,155,80,6,5,0.90,1.30,1.00,0.90,1.0,0.9,1.1,0.9,,,甘宁亲随，锦帆水军
troop_san_1308,吴氏卫队,epic,archer,300,3,120,84,5,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,孙坚正室，吴氏卫队
troop_san_1401,冀州部曲,common,infantry,150,1,30,25,4,3,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1402,冀州轻弓,common,archer,150,3,34,22,3,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1403,冀州轻骑,rare,cavalry,300,1,76,41,6,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1404,大戟士,epic,infantry,450,2,90,69,5,4,1.00,1.10,0.80,1.00,1.0,1.0,1.0,1.1,,,张郃亲随，大戟长枪
troop_san_1405,乌巢骑,epic,cavalry,450,1,99,66,5,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,袁绍亲兵，镇守中枢
troop_san_1406,先登死士,legendary,infantry,600,2,125,101,6,4,1.00,1.30,0.80,1.00,1.0,1.0,1.0,1.1,,,袁氏先锋，骑兵克星
troop_san_1407,虎贲神射,legendary,archer,600,4,151,88,6,5,0.90,1.30,1.00,0.90,1.0,0.9,1.1,0.9,,,袁氏神射，箭在人在
troop_san_1408,刘氏卫队,epic,cavalry,300,1,140,72,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,袁绍正室，刘氏卫队
troop_san_1409,冯氏卫队,epic,cavalry,300,1,131,82,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,袁术侧室，冯氏卫队
